date,view_cus_count,view_count,total_cus_count,transaction_count,revenue,click_cus_count,click_count
2018-09-01,63034,306356,5062,5185,550354.7099999974,2348,3208
2018-09-02,62945,306175,5020,5136,547736.3399999974,2357,3346
2018-09-03,71317,351109,7108,7307,788901.2599999974,2655,3776
2018-09-04,59023,253155,5958,6104,647224.5399999954,1988,2722
2018-09-05,60926,242625,4328,4431,367840.9699999995,1891,2541
2018-09-06,73142,317311,6558,6753,609711.2499999993,2400,3229
2018-09-07,76742,333027,6805,7026,658813.5199999984,2571,3492
2018-09-08,83216,376240,6518,6683,631885.8299999995,3062,4142
2018-09-09,85479,403594,7802,7957,788516.4799999985,3221,4497
2018-09-10,88632,344908,3799,3895,343026.33,2838,3821
2018-09-11,85107,327918,7465,7660,671329.8199999994,2741,3709
2018-09-12,79054,305677,7369,7599,647804.3899999991,2467,3346
2018-09-13,77947,327813,8370,8712,914801.7999999955,2644,3546
2018-09-14,72397,303357,7309,7631,860795.1399999963,2521,3415
2018-09-15,68304,302197,3518,3645,417235.6900000003,2614,3593
2018-09-16,77463,347451,7380,7664,890160.4599999954,2825,3804
2018-09-17,75750,293362,6731,6983,704321.7099999965,2445,3402
2018-09-18,69277,263274,5344,5533,484962.68999999965,2111,2860
2018-09-19,73327,284584,5982,6160,541429.479999999,2185,2958
2018-09-20,74111,294725,5910,6094,549597.779999998,2298,3094
2018-09-21,79790,321583,7265,7488,649676.7699999968,2521,3328
2018-09-22,81263,352811,7746,7956,710645.2499999978,2626,3527
2018-09-23,81809,363371,7859,8055,744426.5599999974,2890,3842
2018-09-24,75235,310396,6931,7198,703010.6299999987,2574,3512
2018-09-25,75553,320592,6588,6990,705742.7299999987,2607,3611
2018-09-26,74283,318860,6869,7216,726314.0900000011,2488,3447
2018-09-27,69338,295635,6244,6629,686641.0599999981,2253,3048
2018-09-28,74868,342186,6982,7338,735524.7399999999,2458,3450
2018-09-29,76469,379224,6113,6291,619940.56,2702,3785
2018-09-30,86088,432443,7887,8101,826155.0500000011,3008,4233
2018-10-01,82582,333468,7230,7437,681233.8399999967,2572,3475
2018-10-02,79327,308362,5800,5969,484025.47999999917,2349,3161
2018-10-03,91633,377862,7332,7557,565154.5499999975,2791,3745
2018-10-04,81278,326928,6411,6629,522654.0999999964,2557,3481
2018-10-05,82631,330850,6484,6729,500385.78999999806,2655,3533
2018-10-06,79492,334978,5541,5679,450740.3199999977,2807,3882
2018-10-07,90347,408329,6709,6876,600021.719999996,3332,4803
2018-10-08,87849,375300,7947,8191,742862.3099999955,3072,4155
2018-10-09,83537,327967,6630,6798,602225.4799999952,2738,3652
2018-10-10,92240,346360,4057,4164,336867.8700000003,2878,3907
2018-10-11,94653,368285,3911,4049,275241.79999999964,3052,4128
2018-10-12,99059,390779,7760,8042,675378.4199999989,3044,4242
2018-10-13,96253,400735,7379,7592,717046.8299999995,3243,4396
2018-10-14,120412,494143,10036,10323,798114.5199999979,4010,5429
2018-10-15,91328,348119,8275,8613,636043.7299999993,2801,3663
2018-10-16,90344,347691,6810,7197,570203.5199999982,2932,3864
2018-10-17,91252,359666,6975,7300,576919.439999999,2964,4019
2018-10-18,86664,343198,6808,7182,564389.1099999953,2803,3792
2018-10-19,83894,339980,6545,6813,572819.729999998,2651,3624
2018-10-20,81036,357606,5651,5798,518668.9099999971,2762,3813
2018-10-21,94808,409322,7268,7441,646957.6399999976,3387,4664
2018-10-22,104146,453980,13353,13868,1117118.739999994,3731,5076
2018-10-23,79460,312712,6198,6376,494018.72999999806,2538,3377
2018-10-24,98208,409001,7836,8084,597989.2299999926,3092,4183
2018-10-25,93368,399409,8418,8675,632107.0099999997,2952,3965
